ID,References,Author,Climate,Name,Outlet Name,Yrs,Size(km2),L(km),RD(mm),QA,Rc,TSSC(mg/L),TSSL(g m-2 a-1),POCC ,DOCC ,PICC ,DICC ,TOCC (mg/L),POCL,DOCL,PICL,DICL,TOCL (g m-2 a-1),Total Rainfall,MAP,MAT,S,LAT,LONG,LU,Vc(%),RSCI(%),SOC(%),BD(g/cm3),CLAY(%),SILT(%),
111,23,MWRC. 2014,Humid subtropical,Ganjiang River,Waizhou(1950-2010),61,80900 ,744,844 ,2165.778792,0.527657602,127,106.000 ,,,,,,,,,,,1600,1600,18,1.19354839,28.65,115.86,Forest,,,,,,,
112,23,MWRC. 2014,Semi-arid continental,Haihe River,Haihezha(1960-2010),51,318000 ,1329,68 ,685.6925419,0.127102804,90,0.232 ,,,,,,,,,,,535,535,9,1.72761475,38.99,117.72,Agriculture,,,,,,,
113,23,MWRC. 2014,Humid subtropical,Hanjiang River,Huangzhuang(1950-2010),61,142100 ,1532,334 ,1506.849315,0.371569317,1000,336.000 ,,,,,,,,,,,900,900,15,0.60621433,31.08,112.53,Forest,,32.7,,,,,
114,23,MWRC. 2014,Humid subtropical,Hongshuihe River,Qianjiang(1954-2010),57,128900 ,1573,509 ,2081.113648,0.346363526,584,297.000 ,,,,,,,,,,,1470,1470,16,1.30387794,23.63,108.98,Forest,,,,,,,
115,23,MWRC. 2014,Humid continental,Huaihe River,Xixian(1956-2010),55,10200 ,255,366 ,118.4043633,0.406753813,634,232.000 ,,,,,,,,,,,900,900,15,4.31372549,32.32,114.75,Agriculture,,,1.566,1.234976327,21,50,
116,23,MWRC. 2014,Humid continental,Huaihe River,Lutaizi(1950-2010),61,88600 ,650,250 ,702.3718924,0.298329356,370,92.400 ,,,,,,,,,,,838,838,15,1.72769231,32.54,116.56,Agriculture,,,,,,,
117,23,MWRC. 2014,Humid continental,Huaihe River,Bangbu(1956-2010),61,121300 ,1000,222 ,855.2130898,0.26532375,332,73.900 ,,,,,,,,,,,838,838,15,0.573,33.14,118.01,Agriculture,,,,,,,
118,23,MWRC. 2014,Humid continental,Jialingjiang River,Beibei(1956-2010),55,156700 ,1119,417 ,2071.60071,0.432032431,1570,657.000 ,,,,,,,,,,,965,965,15,0.61710037,29.79,106.48,Agriculture,,4.26,,,,,
119,23,MWRC. 2014,Humid subtropical,Jianxi River,Qilijie No.2(1953-2010),58,14800 ,295,1050 ,492.7701674,0.617647059,98,103.000 ,,,,,,,,,,,1700,1700,18,3.08474576,27.02,118.31,Forest,,,1.45,1.244434839,48,25,
120,20,MWRC. 2010,Semiarid,Jinghe River,Zhangjiashan(2009-2010),2,43200 ,483,49 ,66.84931507,0.09740519,99900,2480.000 ,,,,,,,,,,,501,501,13.4,4.43064182,34.65,108.58,Agriculture,60.6,,,,,,
121,20,MWRC. 2010,Semiarid,Kuyehe River,Wenjiachuan(2009-2010),2,8500 ,242,15 ,3.959443176,0.036725,526,7.700 ,,,,,,,,,,,400,400,7.5,2.89256198,38.47,110.76,Grassland,40.15,,0.4524,1.387582871,,,
122,23,MWRC. 2014,Humid subtropical,Lanjiang River,Lanxi(1977-2010),34,18200 ,303,904 ,521.6260781,0.602564103,120,109.000 ,,,,,,,,,,,1500,1500,16,2.21122112,29.29,119.51,Forest,,,1.45,1.244434839,,,
123,23,MWRC. 2014,Humid continental,Laohahe River,Xinglongpo(1963-2010),48,19100 ,449,27 ,16.14662608,0.057955839,27400,730.000 ,,,,,,,,,,,460,460,7,1.48552339,42.31,119.42,Agriculture,,,,,,,
124,23,MWRC. 2014,Humid continental,Liaohe River Mainstream,Tieling(1954-2010),57,120800 ,900,25 ,94.08295282,0.05339404,3880,95.000 ,,,,,,,,,,,460,460,7,0.83333333,42.13,123.57,Agriculture,,,,,,,
125,23,MWRC. 2014,Humid continental,Liaohe River Mainstream,Liujianfang(1987-2011),24,136500 ,1200,22 ,93.06823947,0.039023288,1420,30.500 ,,,,,,,,,,,551,551,7,0.66,41.27,122.52,Agriculture,6.595,,,,,,
126,23,MWRC. 2014,Humid subtropical,Lishui River,Shimen(1950-2010),61,15300 ,372,965 ,468.3536276,0.603349673,365,352.000 ,,,,,,,,,,,1600,1600,17,1.26344086,29.62,111.88,Forest,,,1.566,1.234976327,,,
127,23,MWRC. 2014,Humid subtropical,Liujiang River,Liuzhou(1954-2010),57,45400 ,773,868 ,1249.048706,0.590218466,132,114.000 ,,,,,,,,,,,1470,1470,17,1.24191462,24.26,109.68,Forest,,,,,,,
128,23,MWRC. 2014,Humid subtropical,Minjiang River(Fujian),Zhuqi No.2(1950-2010),61,54500 ,577,985 ,1701.547438,0.575781963,109,107.000 ,,,,,,,,,,,1710,1710,18,0.60311958,26.14,119.13,Forest,,,,,,,
129,23,MWRC. 2014,Highlands,Minjiang River(Sichuan),Gaochang(1956-2010),55,125400 ,735,675 ,2684.550989,0.623379148,535,335.000 ,,,,,,,,,,,1083,1083,11,3.63265306,28.79,104.43,Forest,,1,,,,,
130,23,MWRC. 2014,Humid subtropical,Nanpanjiang River,Xiaolongtan(1953-2010),58,15400 ,400,245 ,119.6410452,0.215289982,1260,306.000 ,,,,,,,,,,,1138,1138,15,2.7375,23.81,103.2,Forest,,,,,,,
131,23,MWRC. 2014,Humid continental,Nenjiang River,Jiangqiao(1955-2010),56,162600 ,1000,124 ,641.8061898,0.276616099,96,11.900 ,,,,,,,,,,,450,450,1,0.428,46.79,123.72,Forest,,,,,,,
132,23,MWRC. 2014,Humid continental,Nenjiang River,Dalai(1955-2010),56,221700 ,1300,93 ,653.2217149,0.20648524,70,6.740 ,,,,,,,,,,,450,450,1,0.33384615,45.54,124.26,Agriculture,,,,,,,
133,23,MWRC. 2014,Humid subtropical,Puyangjiang River,Zhuji(1956-2010),55,1700 ,150,682 ,36.7833587,0.426470588,147,99.500 ,,,,,,,,,,,1600,1600,16,2.97333333,29.71,120.24,Agriculture,,,1.45,1.244434839,,,
134,23,MWRC. 2014,Humid subtropical,Qujiang River,Quzhou(1958-2010),53,5400 ,150,1147 ,196.4104515,0.764691358,170,194.000 ,,,,,,,,,,,1500,1500,16,4.21333333,28.98,118.87,Forest,,,1.45,1.244434839,50,22,
135,23,MWRC. 2014,Humid subtropical,Raohe River,Hushan(1953-2010),58,6400 ,313,1112 ,225.7420091,0.7415625,81,88.100 ,,,,,,,,,,,1500,1500,18,1.24600639,29.15,116.69,Forest,,,1.45,1.244434839,48,25,
136,23,MWRC. 2014,Semi-arid continental,Sanggan River,Shixiali(1952-2010),59,23600 ,506,19 ,14.25989346,0.038110169,20200,384.000 ,,,,,,,,,,,500,500,8,1.18577075,40.25,114.73,Agriculture,,,,,,,
137,23,MWRC. 2014,Humid continental,Second Songhuajiang River,Fuyu(1955-2010),56,71800 ,850,205 ,467.7194318,0.320987117,140,28.800 ,,,,,,,,,,,640,640,5,1.83058824,44.87,125.22,Agriculture,,,,,,,
138,23,MWRC. 2014,Humid subtropical,Shaxi River,Shaxian(1952-2010),59,9900 ,328,939 ,294.9010654,0.55258467,115,108.000 ,,,,,,,,,,,1700,1700,19,2.67987805,26.52,117.99,Forest,,,1.45,1.244434839,48,25,
139,23,MWRC. 2014,Humid continental,Songhuajiang River Mainstream,Harbin(1955-2010),56,389800 ,1500,104 ,1287.417555,0.181773085,150,15.700 ,,,,,,,,,,,573,573,3,0.456,45.76,126.54,Agriculture,,,,,,,
140,23,MWRC. 2014,Humid continental,Songhuajiang River Mainstream,Jiamusi(1955-2010),56,528300 ,1956,120 ,2004.058853,0.226999997,199,23.800 ,,,,,,,,,,,527,527,3,0.3696319,46.85,130.38,Agriculture,,,,,,,
141,20,MWRC. 2010,Semiarid,TaoHe River,Hongqi(2009-2010),2,25500 ,673,128 ,103.1934932,0.232036364,798,97.450 ,,,,,,,,,,,550,550,7.5,2.79346211,35.92,103.38,Grassland,,,,,,,
142,20,MWRC. 2010,Semiarid,Weihe River,Huaxian(2009-2010),2,46800 ,700,56 ,82.3630137,0.085384615,2130,120.650 ,,,,,,,,,,,650,650,9.5,1.40586797,34.57,109.73,Agriculture,20.98,,,,,,
143,20,MWRC. 2010,Semiarid,Wudinghe River,Baijiachuan(2009-2010),2,29700 ,491,30 ,28.06506849,0.0745,8595,263.000 ,,,,,,,,,,,400,400,8,3.01652893,37.05,110.44,Agriculture,36.43,,0.4542,1.387094849,,,
144,23,MWRC. 2014,Humid subtropical,Wujiang River,Wulong(1956-2010),55,83000 ,1018,588 ,1546.803653,0.504906223,499,293.000 ,,,,,,,,,,,1164,1164,15,1.70684667,29.5,107.48,Forest,,4.11,,,,,
145,23,MWRC. 2014,Humid subtropical,Xiangjiang River,Xiangtan(1950-2010),61,81600 ,817,808 ,2091.894977,0.538970588,145,117.000 ,,,,,,,,,,,1500,1500,17,0.88127295,27.86,112.94,Forest,,,,,,,
146,23,MWRC. 2014,Humid subtropical,Xijiang River,Wuzhou(1954-2010),57,327000 ,2014,619 ,6421.232877,0.381086803,294,182.000 ,5.7074,1.7959,,,,3.534399083,1.112139908,,,4.646538991,1625,1625,20,0.86891758,23.49,111.32,Forest,,,,,,,
147,23,MWRC. 2014,Humid subtropical,Xijiang River,Gaoyao(1957-2010),54,351500 ,2214,621 ,6919.076611,0.382011161,292,182.000 ,5.6694,1.7903,,,,3.519382873,1.111361195,,,4.630744068,1625,1625,20,0.85230352,23.03,112.46,Forest,,,,,,,
148,23,MWRC. 2014,Humid continental,Xilamulunhe River,Balinqiao(1994-2010),17,11200 ,150,31 ,10.84474886,0.066381988,14600,444.000 ,,,,,,,,,,,460,460,7,4.62,43.26,118.61,Grassland,,,0.9628,1.294759087,5,6,
149,23,MWRC. 2014,Humid subtropical,Xinjiang River,Meigang(1953-2010),58,15500 ,313,1159 ,569.8249619,0.724596774,116,133.000 ,,,,,,,,,,,1600,1600,18,0.69648562,28.55,116.75,Forest,,,1.45,1.244434839,48,25,
150,23,MWRC. 2014,Humid subtropical,Xiushui River,Wanjiabu(1953-2010),58,3500 ,357,997 ,110.667174,0.639194139,104,102.000 ,,,,,,,,,,,1560,1560,16.5,0.42016807,29.21,115,Agriculture,,,1.45,1.244434839,,,
151,23,MWRC. 2014,Humid subtropical,Xunjiang River,Dahuangjiangkou(1954-2010),57,288500 ,1812,591 ,5403.348554,0.393760832,313,185.000 ,,,,,,,,,,,1500,1500,20,1.17384106,23.58,110.22,Forest,,,,,,,
152,23,MWRC. 2014,Highlands,Yalongjiang River,Tongzilin(1999-2010),12,128400 ,1500,474 ,1929.540842,0.557540773,227,107.000 ,,,,,,,,,,,850,850,0,2.14,26.71,101.85,Grassland,,,,,,,
153,23,MWRC. 2014,Semi-arid continental,Yanghe River,Xiangshuibao(1952-2010),59,14500 ,262,23 ,10.73376459,0.046689655,18400,429.000 ,,,,,,,,,,,500,500,8,2.44274809,40.51,115.18,Grassland,,,0.7129,1.331691095,21,43,
154,23,MWRC. 2014,Highlands,Yangtze River,Zhimenda(1957-2010),54,137700 ,1188,93 ,405.8853374,0.232389252,678,70.000 ,,,,,,,,,,,400,400,-3,2.69385965,33,97.25,Grassland,,,,,,,
155,23,MWRC. 2014,Highlands,Yangtze River,Shigu(1952-2010),58,214200 ,2100,199 ,1349.885845,0.390450876,618,117.000 ,,,,,,,,,,,509,509,5,1.71428571,26.88,99.96,Grassland,,,,,,,
156,23,MWRC. 2014,Highlands,Yangtze River,Xiangjiaba(1956-2010),55,458800 ,3400,313 ,4553.526129,0.440831563,1660,513.000 ,,,,,,,,,,,710,710,8,1.44411765,28.64,104.39,Grassland,,,,,,,
157,23,MWRC. 2014,Humid subtropical,Yangtze River,Zhutuo(1954-2010),57,694700 ,3650,384 ,8460.172501,0.480063337,1090,435.000 ,,,,,,,,,,,800,800,11,1.3890411,29.01,105.86,Forest,,,,,,,
158,23,MWRC. 2014,Humid subtropical,Yangtze River,Cuntan(1950-2010),61,866600 ,3780,398 ,10939.87823,0.444316458,1160,482.000 ,,,,,,,,,,,896,896,11,1.38624339,29.81,107.06,Forest,,,,,,,
159,23,MWRC. 2014,Humid subtropical,Yangtze River,Yichang(1950-2010),61,1005500 ,4529,429 ,13682.77524,0.440143314,1010,468.000 ,,,,,,,,,,,975,975,12,1.42703297,30.76,111.26,Forest,,4.28,,,,,
160,23,MWRC. 2014,Humid subtropical,Yangtze River,Hankou(1954-2010),55,1488000 ,5360,475 ,22425.16489,0.456989247,507,258.000 ,,,,,,,,,,,1040,1040,14,1.23003731,30.59,114.32,Forest,,,,,,,
161,23,MWRC. 2014,Humid subtropical,Yangtze River,Datong(1950-2010),61,1705400 ,5756,526 ,28424.65753,0.490779166,437,243.000 ,,,,,,,,,,,1071,1071,14,0.93606671,30.72,117.47,Forest,,7.65,,,,,
162,20,MWRC. 2010,Semiarid,Yanhe River,Ganguyi(2009-2010),2,5900 ,287,21 ,3.928843227,0.0525,32650,696.500 ,,,,,,,,,,,400,400,8,2.89198606,36.71,109.84,Agriculture,54.19,,0.4542,1.387094849,21,43,
163,23,MWRC. 2014,Semiarid,Yellow River,Tangnaihai(1987-2010),24,122000 ,1553,149 ,576.4205987,0.304081633,599,99.200 ,,,,,,,,,,,490,490,0,1.14616871,35.5,100.15,Grassland,,,1.7,1.224885788,,,
164,23,MWRC. 2014,Semiarid,Yellow River,Lanzhou(1987-2010),24,222600 ,2184,121 ,854.0905632,0.255813953,1380,166.000 ,,,,,,,,,,,473,473,1,1.36446886,36.06,103.84,Grassland,,,1.4,1.248747562,,,
165,23,MWRC. 2014,Semiarid,Yellow River,Toudaoguai(1987-2010),24,367900 ,3472,42 ,494.6397768,0.106265664,2720,115.000 ,,,,,,,,,,,399,399,5,1.00230415,40.44,110.34,Grassland,,,1,1.2901,,,
166,23,MWRC. 2014,Semiarid,Yellow River,Longmen(1987-2010),24,497600 ,4164,38 ,599.5941147,0.09047619,19800,757.000 ,,,,,,,,,,,420,420,6,0.98463016,35.66,110.6,Grassland,,,0.9,1.303048807,,,
167,23,MWRC. 2014,Semiarid,Yellow River,Tongguan(1987-2010),24,682200 ,4314,35 ,757.1347032,0.079545455,24700,867.000 ,,,,,,,,,,,440,440,8,0.94807603,34.62,110.43,Grassland,,,,,,,
168,23,MWRC. 2014,Semiarid,Yellow River,Huayuankou(1987-2010),24,730000 ,4678,35 ,810.1851852,0.072916667,16800,593.000 ,,,,,,,,,,,480,440,8,0.93822146,34.91,113.67,Grassland,,,,,,,
169,23,MWRC. 2014,Semiarid,Yellow River,Gaocun(1987-2010),24,734100 ,4870,31 ,721.6229072,0.066810345,15400,477.000 ,,,,,,,,,,,464,464,10,0.90718686,35.39,115.09,Grassland,,,,,,,
170,23,MWRC. 2014,Semiarid,Yellow River,Aishan(1987-2010),24,749100 ,5050,27 ,641.3527397,0.058189655,17600,477.000 ,,,,,,,,,,,464,464,10,0.87841584,36.14,116.15,Grassland,,,,,,,
171,23,MWRC. 2014,Semiarid,Yellow River,Lijin(1987-2010),24,751900 ,5324,20 ,476.8518519,0.043103448,19500,383.000 ,,,,,,,,,,,464,464,11,0.83978212,37.62,118.32,Grassland,,,,,,,
172,23,MWRC. 2014,Humid continental,Yihe River,Linyi(1951-2010),60,10300 ,386,205 ,67.09791984,0.256796117,1030,206.000 ,,,,,,,,,,,800,800,13,1.13989637,35,118.4,Agriculture,,,1.9836,1.205924146,19,34,
173,23,MWRC. 2014,Humid continental,Yinghe River,Fuyang(1951-2010),60,35200 ,619,132 ,147.7359209,0.132357955,635,84.100 ,,,,,,,,,,,1000,1000,14,2.38610662,32.53,116.41,Agriculture,,,0.6438,1.344221124,18,48,
174,23,MWRC. 2014,Semi-arid continental,Yongding River,Yanchi(1963-2010),48,43700 ,747,14 ,19.10514967,0.027574371,201,2.780 ,,,,,,,,,,,500,500,8,2.55689424,40.02,115.84,Grassland,,,,,,,
175,23,MWRC. 2014,Humid subtropical,Yuanjiang River,Taoyuan(1951-2010),60,85200 ,1060,752 ,2031.329274,0.556946618,157,119.000 ,,,,,,,,,,,1350,1350,17,0.89622642,28.78,111.4,Forest,,,,,,,
176,23,MWRC. 2014,Humid subtropical,Yujiang River,Nanning(1954-2010),57,72700 ,1157,509 ,1173.896499,0.385477635,231,118.000 ,,,,,,,,,,,1321,1321,21,1.40017286,22.77,108.37,Forest,,,,,,,
177,23,MWRC. 2014,Humid subtropical,Zishui River,Taojiang(1951-2010),60,26700 ,590,860 ,728.0568239,0.61423221,86,73.400 ,,,,,,,,,,,1400,1400,17,0.77966102,28.55,112.11,Forest,,,,,,,
178,24,QIAO et al. 2009.,Humid subtropical,Dinghushan Nature Reserve ,Dinghu(2002-2005),3,11 ,3.3,1392 ,0.5,0.722212476,,,,,,,1.85,,,,,2.524271845,1927,1927,21,,23.154752,112.527761,Forest,78,,1.8,1.31,23,27,
179,25,QIU et al. 2013,Semiarid,Yellow River,Lijin(2010-2011),1,751900 ,5360,22 ,530,0.049508076,2961,65.820 ,12.92,2.39,,44.71917205,15.21,0.465487432,0.052799574,,0.747439819,0.518287006,449,449,10,0.83414179,37.62,118.32,Grassland,17.4002322,143.08,,,,,
180,26,Ran et al. 2013,Semiarid,Yellow River,Toudaoguai(2011-2012),1,367898 ,3472,47 ,551,0.117199493,1901,89.787 ,9.2,3.6,,,12.8,0.434903153,0.163088682,,,0.597991835,403,403,6,1.00230415,40.44,110.34,Grassland,,211.19,1,1.2901,,,
181,26,Ran et al. 2013,Semiarid,Yellow River,Tongguan(2011-2012),1,682166 ,4314,40 ,858,0.084753564,3640,144.379 ,21.8,4.1,,,25.9,0.864892123,0.161251074,,,1.026143197,468,468,8,0.97589244,34.62,110.43,Grassland,,,,,,,
182,26,Ran et al. 2013,Semiarid,Yellow River,Lijin(2008-2012),4,752000 ,5360,33 ,787.6,0.065145814,3590,118.574 ,16.5,3.3,,,19.8,0.545212766,0.079787234,,,0.625,507,440,11,0.85652985,37.62,118.32,Grassland,,148.87,,,,,
183,27,Ran et al. 2013,Semiarid,Yellow River,Huayuankou(2000-2005),6,730000 ,4678,30 ,685.1851852,0.067272727,5457,163.698 ,,,,,,,,,,,440,440,10,0.93822146,34.91,113.67,Grassland,,,,,,,
184,28,SUN et al. 2015,Humid subtropical,Xiangxi River,Zigui(2013),1,3099 ,94,410 ,40.3,0.372818446,,,,,,,0.66,,,,,0.270666192,1100,1100,12,13.82978723,30.97,110.77,Forest,,,1.9836,1.205924146,47,22,
185,29,Tan et al. 2014,Humid continental,Jinshuihe,Jinshui(2011-2012),1,1517 ,87,178 ,8.56,0.165996911,,,15.15,,,,,2.537,,,,2.537,1072,1072,13,17.09195402,33.28,107.86,Forest,,,1.9836,1.205924146,22,36,
186,30,Tao et al. 1998,Humid continental,Yichun River,Yichun(1993-1995),2,2466 ,84,271 ,21.2,0.456418197,,,,10.64,,,,,2.88,,,2.88,594,613.4,1,5.05952381,47.74,128.93,Forest,,,1.65,1.28,22,39,
187,31,Wang et al. 2011,Humid subtropical,Guijiang River,Wuzhou(2010),1,18790 ,438,767 ,457,0.460384856,,,0.27,1.55,,77.2,1.82,0.207090316,1.188851815,,59.21249039,1.395942131,1666,1666,18,3.53881279,23.49,111.32,Forest,,,,,,,
188,31,Wang et al. 2011,Humid subtropical,Lijiang River,Guilin(2010),1,2860 ,164,1400 ,126.9660071,0.736842105,,,0.36,0.99,,93.3,1.35,0.508104503,1.397287385,,131.6837505,1.905391888,1900,1900,19,9.48170732,25.22,110.34,Agriculture,,,1.45,1.244434839,,,
189,32,Wang et al. 2012,Humid subtropical,Yangtze River,Datong(2009),1,1705400 ,5756,457 ,24700,0.497547582,134,61.204 ,1.144231157,1.189398176,0.230351799,,2.333629332,0.891286502,0.926468864,0.179430046,,1.817755365,918,918,14,0.93606671,30.72,117.47,Forest,38,15.32,,,,,
190,32,Wang et al. 2012,Semiarid,Yellow River,Lijin(2009),1,751900 ,5360,18 ,420,0.037801575,2522,44.426 ,39.06012414,3.213172165,151.6215616,,42.2732963,0.517356031,0.042558851,2.008245777,,0.559914882,466,466,10,0.83414179,37.62,118.32,Grassland,18.6037318,152.6161138,,,,,
191,33,Wang et al. 2015,Subarctic,Heilongjiang River,Fuyuan(2009-2010),2,1451000 ,1854,145 ,6682,0.242044052,,,,7.45,,7.41,,,1.082012405,,1.16471399,,600,600,-1,1.06040992,48.39,134.54,Forest,,,,,,,
