ID,References,Author,Climate,Name,Outlet Name,Yrs,Size(km2),L(km),RD(mm),QA,Rc,TSSC(mg/L),TSSL(g m-2 a-1),POCC ,DOCC ,PICC ,DICC ,TOCC (mg/L),POCL,DOCL,PICL,DICL,TOCL (g m-2 a-1),Total Rainfall,MAP,MAT,S,LAT,LONG,LU,Vc(%),RSCI(%),SOC(%),BD(g/cm3),CLAY(%),SILT(%),
192,33,Wang et al. 2015,Humid continental,Songhuajiang River,Tongjiang(2009-2011),2,555600 ,1956,133 ,2350,0.190552299,,,,5.32,,8.97,,,0.683945284,,1.151907847,0.683945284,700,700,3,0.38343558,47.68,132.51,Agriculture,,,,,,,
193,33,Wang et al. 2015,Humid continental,Wusulijiang River,Haiqing(2009-2011),2,187000 ,890,221 ,1312,0.356867621,,,,6.72,,6.39,,,1.28342246,,1.390374332,1.28342246,620,620,3,1.08651685,47.86,133.66,Forest,,,,,,,
194,33,Wang et al. 2015,Subarctic,Heilong River,Tongjiang(2009-2011),2,528300 ,1650,147 ,2469,0.294765792,,,,12.33,,5.61,,,1.817149347,,1.495362483,,500,500,-1,1.18242424,47.75,132.42,Forest,,,,,,,
195,34,Wei et al. 2011,Humid subtropical,Xijiang River,Makou(1999-2006),8,353120 ,2214,655 ,7338,0.40328181,,,1.35,1.86,,,,0.88425,1.2183,,,2.10255,1625,1625,22,0.85591689,23.11,112.8,Forest,32.94,,,,,,
196,35,Wu et al. 2012,Humid subtropical,Pearl River,Pearl River Mouth(1950?1959),10,453700 ,2214,611 ,8783.61238,0.376873825,285.198556,174.124 ,,,,,,,,,,,1620,1549,20,0.85094851,22.93,113.56,Forest,,0.144404332,,,,,
197,35,Wu et al. 2012,Humid subtropical,Pearl River,Pearl River Mouth(1960?1969),10,453700 ,2214,597 ,8593.353628,0.37100062,280.4428044,167.512 ,,,,,,,,,,,1610,1549,20,0.85094851,22.93,113.56,Forest,,8.044280443,,,,,
198,35,Wu et al. 2012,Humid subtropical,Pearl River,Pearl River Mouth(1970?1979),10,453700 ,2214,663 ,9544.647387,0.397265861,275.7475083,182.940 ,,,,,,,,,,,1670,1549,20,0.85094851,22.93,113.56,Forest,,8.671096346,,,,,
199,35,Wu et al. 2012,Humid subtropical,Pearl River,Pearl River Mouth(1980?1989),10,453700 ,2214,600 ,8625.06342,0.356854225,319.8529412,191.757 ,,,,,,,,,,,1680,1549,20,0.85094851,22.93,113.56,Forest,29.72,10.91911765,,,,,
200,35,Wu et al. 2012,Humid subtropical,Pearl River,Pearl River Mouth(1990?1999),10,453700 ,2214,679 ,9766.615931,0.392406176,243.5064935,165.307 ,,,,,,,,,,,1730,1549,20,0.85094851,22.93,113.56,Forest,28.89,15,,,,,
201,35,Wu et al. 2012,Humid subtropical,Pearl River,Pearl River Mouth(2000?2009),10,453700 ,2214,591 ,8498.224252,0.357999212,134.3283582,79.348 ,,,,,,,,,,,1650,1549,20,0.85094851,22.93,113.56,Forest,,29.51492537,,,,,
202,36,Wu et al. 2013,Tropical Wet,Wanquanhe River,Boao(2006-2009),3,3693 ,157,1409 ,165,0.741579375,768.7222299,1083.130 ,,,,,,0.676956404,2.301651774,,,2.978608178,1900,1900,23,3.33121019,19.14,110.51,Forest,,,1.1368,1.274342094,,,
203,37,XIA & ZHANG. 2011,Humid continental,Daling River,Linghai(2005),1,23500 ,397,71 ,52.86,0.135115944,533.5,37.844 ,16.16,3,,32.52,19.16,1.14632367,0.212807612,,2.306834513,1.359131281,525,525,10,1.25440806,40.87,121.56,Agriculture,33.5,,,,,,
204,37,XIA & ZHANG. 2011,Semi-arid continental,Daqing River,Tianjin(2005),1,45131 ,448,98 ,140.5,0.178502904,226.15,22.203 ,2.64,4.75,,26.67,7.39,0.259186216,0.466338836,,2.618369842,0.725525052,550,550,12,2.22991071,38.67,117.52,Agriculture,,,,,,,
205,37,XIA & ZHANG. 2011,Semi-arid continental,Haihe River,Tianjin(2005),1,318000 ,1329,71 ,717,0.146005657,96.65,6.872 ,8.16,7.84,,40,16,0.580214798,0.557461277,,2.844190189,1.137676075,487,487,8,1.01203913,39.03,117.64,Agriculture,74.1,,,,,,
206,37,XIA & ZHANG. 2011,Humid continental,Liugu River,Suizhong(2005),1,3080 ,158,204 ,19.97,0.343766059,74.57,15.247 ,2.75,1.67,,17.63,4.42,0.562298143,0.341468327,,3.604842276,0.90376647,594.8,594.8,8.5,2.06329114,40.28,120.48,Agriculture,,,,,,,
207,37,XIA & ZHANG. 2011,Semi-arid continental,Luan River,Jianggezhuang(2005),1,44750 ,888,103 ,146,0.187069822,37.51,3.859 ,9.65,7.81,,45.71,17.46,0.992873082,0.803558421,,4.703028866,1.796431503,550,550,8.5,1.68806306,39.45,119.24,Agriculture,,,,,,,
208,37,XIA & ZHANG. 2011,Humid continental,Shuangtaizi River,Dawa(2005),1,4071 ,130,202 ,26.07629376,0.32,252.01,226.064 ,8.89,4.94,,30.24,13.83,7.974727004,4.431400607,,27.12663044,12.40612761,623.2,623.2,8.4,0.08461538,40.98,121.85,Agriculture,,,2.697,1.168165989,,,
209,37,XIA & ZHANG. 2011,Semi-arid continental,TuHaihe River,Zhanhua(2005),1,13902 ,436,43 ,19.06,0.071465567,203.65,8.805 ,9.04,4.64,,34.15,13.68,0.39085948,0.20061814,,1.476532216,0.59147762,605,605,13,0.11238532,38.08,118.06,Agriculture,,,0.6438,1.344221124,18,48,
210,37,XIA & ZHANG. 2011,Humid continental,Xiaoling River,Jinzhou(2005),1,5475 ,206,73 ,12.62,0.121152,38.64,2.809 ,6.54,4.43,,38.7,10.97,0.475400448,0.322022016,,2.81314944,0.797422464,600,600,10,3.1407767,40.97,121.22,Agriculture,,,,,,,
211,37,XIA & ZHANG. 2011,Semiarid,Xiaoqing River,Yangkou(2005),1,10336 ,237,123 ,40.27,0.1981728,95.64,11.751 ,7.35,7.66,,56.49,15.01,0.903073451,0.941162263,,6.940764525,1.844235715,620,620,13,0.24050633,37.27,118.88,Agriculture,,,,,,,
212,38,Xiuguo Wei. 2003,Humid subtropical,Beijiang River,Sanshui(2000-2001),1,46710 ,468,1092 ,1617,0.610746109,16.9,18.450 ,0.27,1.54,,69.11,,0.294761341,1.681231353,,75.44798622,1.975992694,1787.5,1787.5,20,1.0491453,23.17,112.83,Forest,,,,,,,
213,38,Xiuguo Wei. 2003,Humid subtropical,Dongjiang River,Boluo(2000-2001),1,25300 ,562,1016 ,815,0.586199079,28.25,28.699 ,0.37,1.52,,35,,0.375876711,1.544142166,,35.55590514,1.920018877,1733,1733,20,1.76512456,23.17,114.29,Forest,38,78,,,,,
214,38,Xiuguo Wei. 2003,Humid subtropical,Xijiang River,Makou(2000-2001),1,353120 ,2214,651 ,7293,0.4008087,50.59,32.950 ,0.53,1.37,,97.43,,0.345196493,0.892300367,,63.45753635,1.23749686,1625,1625,20,0.85591689,23.11,112.8,Forest,32.94,,,,,,
215,39,Yang et al. 2006,Humid continental,Jailingjiang River,Beibei(1954-1968),15,156700 ,1119,474 ,2352.785705,0.490673575,2156.40834,1021.059 ,,,,,,,,,,,965,965,15,0.61710037,29.79,106.48,Agriculture,,0.4,,,,,
216,39,Yang et al. 2006,Humid continental,Jailingjiang River,Beibei(1969-1985),17,156700 ,1119,439 ,2179.270865,0.454487047,2037.089996,893.427 ,,,,,,,,,,,965,965,15,0.61710037,29.79,106.48,Agriculture,,,,,,,
217,39,Yang et al. 2006,Humid continental,Jailingjiang River,Beibei(1986-2002),17,156700 ,1119,375 ,1864.837329,0.388911917,850.2026288,319.081 ,,,,,,,,,,,965,965,15,0.61710037,29.79,106.48,Agriculture,22.6,,,,,,
218,39,Yang et al. 2006,Humid continental,Jailingjiang River,Beibei(2003-2004),2,156700 ,1119,416 ,2067.072552,0.431088083,368.1704384,153.159 ,,,,,,,,,,,965,965,15,0.61710037,29.79,106.48,Agriculture,22.8,9.3,,,,,
219,39,Yang et al. 2006,Highlands,Jinshajiang River,Pingshan(1954-1968),15,485000 ,2316,309 ,4752.187976,0.437677054,1668.168018,515.464 ,,,,,,,,,,,706,706,8,1.30111111,28.65,104.38,Grassland,,0.45,,,,,
220,39,Yang et al. 2006,Highlands,Jinshajiang River,Pingshan(1969-1985),17,485000 ,2316,279 ,4296.962202,0.395750708,1549.712565,432.990 ,,,,,,,,,,,706,706,8,1.30111111,28.65,104.38,Grassland,,1,,,,,
221,39,Yang et al. 2006,Highlands,Jinshajiang River,Pingshan(1986-2002),17,485000 ,2316,313 ,4813.704972,0.443342776,1778.597543,556.701 ,,,,,,,,,,,706,706,8,1.30111111,28.65,104.38,Grassland,10.1,,,,,,
222,39,Yang et al. 2006,Highlands,Jinshajiang River,Pingshan(2003-2004),2,485000 ,2316,316 ,4859.842719,0.447592068,978.7289573,309.278 ,,,,,,,,,,,706,706,8,1.30111111,28.65,104.38,Grassland,10.4,5.6,,,,,
223,39,Yang et al. 2006,Highlands,Minjiang River(Sichuan),Gaochang(1954-1968),15,125400 ,735,739 ,2938.565449,0.682363804,647.4545325,478.469 ,,,,,,,,,,,1083,1083,11,3.63265306,28.79,104.43,Forest,,0.06,,,,,
224,39,Yang et al. 2006,Highlands,Minjiang River(Sichuan),Gaochang(1969-1985),17,125400 ,735,667 ,2652.264079,0.61588181,478.2297846,318.979 ,,,,,,,,,,,1083,1083,11,3.63265306,28.79,104.43,Forest,,0.87,,,,,
225,39,Yang et al. 2006,Highlands,Minjiang River(Sichuan),Gaochang(1986-2002),17,125400 ,735,667 ,2650.275875,0.615420129,478.5885467,318.979 ,,,,,,,,,,,1083,1083,11,3.63265306,28.79,104.43,Forest,15.3,1.66,,,,,
226,39,Yang et al. 2006,Highlands,Minjiang River(Sichuan),Gaochang(2003-2004),2,125400 ,735,715 ,2842.336377,0.660018467,446.2496731,318.979 ,,,,,,,,,,,1083,1083,11,3.63265306,28.79,104.43,Forest,13.9,1.73,,,,,
227,39,Yang et al. 2006,Humid subtropical,Wujiang River,Wulong(1954-1968),15,83035 ,1037,574 ,1510.038448,0.492697595,629.9798265,361.293 ,,,,,,,,,,,1164,1164,15,1.70684667,29.5,107.48,Forest,,0.24,,,,,
228,39,Yang et al. 2006,Humid subtropical,Wujiang River,Wulong(1969-1985),17,83035 ,1037,620 ,1632.473998,0.532646048,776.9751193,481.725 ,,,,,,,,,,,1164,1164,15,1.70684667,29.5,107.48,Forest,,1.88,,,,,
229,39,Yang et al. 2006,Humid subtropical,Wujiang River,Wulong(1986-2002),17,83035 ,1037,601 ,1581.39336,0.515979381,401.0361089,240.862 ,,,,,,,,,,,1164,1164,15,1.70684667,29.5,107.48,Forest,16.9,7.49,,,,,
230,39,Yang et al. 2006,Humid subtropical,Wujiang River,Wulong(2003-2004),2,83035 ,1037,586 ,1542.95123,0.503436426,267.1680658,156.560 ,,,,,,,,,,,1164,1164,15,1.70684667,29.5,107.48,Forest,19.6,9.57,,,,,
231,40,Yunhua Hu. 2014,Humid subtropical,Fujiang River,Xiaoheba(2001-2010),10,25600 ,700,554 ,450,0.568557692,1120.41265,621.094 ,,,,,,,,,,,975,975,16,3.92285714,30.02,106.04,Agriculture,,,,,,,
232,40,Yunhua Hu. 2015,Humid subtropical,Qujiang River,Luoxidu(2001-2010),10,38190 ,720,566 ,685,0.432123489,1490.591682,843.153 ,,,,,,,,,,,1309,1309,16,1.6,30.11,106.53,Agriculture,,,,,,,
233,41,Zhang & Wen. 2004,Humid continental,Jialingjiang River,Beibei(1954-1959),6,156000 ,1345,432 ,2137.23998,0.447721536,2196,948.718 ,,,,,,,,,,,965,965,15,0.61710037,29.79,106.48,Agriculture,,0.12,,,,,
234,41,Zhang & Wen. 2004,Humid continental,Jialingjiang River,Beibei(1960-1969),10,156000 ,1345,481 ,2378.234399,0.498206457,2427,1166.667 ,,,,,,,,,,,965,965,15,0.61710037,29.79,106.48,Agriculture,,0.42,,,,,
235,41,Zhang & Wen. 2004,Humid continental,Jialingjiang River,Beibei(1970-1979),10,156000 ,1345,387 ,1915.271436,0.401222267,1771,685.897 ,,,,,,,,,,,965,965,15,0.61710037,29.79,106.48,Agriculture,,1.06,,,,,
236,41,Zhang & Wen. 2004,Humid continental,Jialingjiang River,Beibei(1980-1989),10,156000 ,1345,490 ,2422.628108,0.507506311,1832,897.436 ,,,,,,,,,,,965,965,15,0.61710037,29.79,106.48,Agriculture,,3.67,,,,,
237,41,Zhang & Wen. 2004,Humid continental,Jialingjiang River,Beibei(1990-1996),7,156000 ,1345,367 ,1816.971081,0.380629733,855,314.103 ,,,,,,,,,,,965,965,15,0.61710037,29.79,106.48,Agriculture,22.9,5.1,,,,,
238,41,Zhang & Wen. 2004,Highlands,Jinshajiang River,Pingshan(1954-1959),6,485000 ,2316,305 ,4693.049214,0.432230367,1757,536.082 ,,,,,,,,,,,706,706,8,1.30111111,28.65,104.38,Grassland,,0.2,,,,,
239,41,Zhang & Wen. 2004,Highlands,Jinshajiang River,Pingshan(1960-1969),10,485000 ,2316,307 ,4724.759006,0.435150843,1612,494.845 ,,,,,,,,,,,706,706,8,1.30111111,28.65,104.38,Grassland,,0.6,,,,,
240,41,Zhang & Wen. 2004,Highlands,Jinshajiang River,Pingshan(1970-1979),10,485000 ,2316,274 ,4217.402334,0.388423235,1662,455.670 ,,,,,,,,,,,706,706,8,1.30111111,28.65,104.38,Grassland,,1,,,,,
241,41,Zhang & Wen. 2004,Highlands,Jinshajiang River,Pingshan(1980-1989),10,485000 ,2316,289 ,4439.370878,0.408866563,1829,527.835 ,,,,,,,,,,,706,706,8,1.30111111,28.65,104.38,Grassland,9.9,1.1,,,,,
242,41,Zhang & Wen. 2004,Highlands,Jinshajiang River,Pingshan(1990-1996),7,485000 ,2316,285 ,4375.951294,0.403025613,1870,531.959 ,,,,,,,,,,,706,706,8,1.30111111,28.65,104.38,Grassland,10.2,1.2,,,,,
243,41,Zhang & Wen. 2004,Humid subtropical,Longchuanjiang River,Huangguayuan(1964-1969),5,5560 ,231,192 ,33.92947742,0.240557554,3832,737.410 ,,,,,,,,,,,800,800,18.5,7.4978355,25.82,101.86,Forest,,,1.83,1.215829568,20,38,
244,41,Zhang & Wen. 2004,Humid subtropical,Longchuanjiang River,Huangguayuan(1970-1979),10,5560 ,231,140 ,24.73363775,0.175359712,5384,755.396 ,,,,,,,,,,,800,800,18.5,7.4978355,25.82,101.86,Forest,,,1.83,1.215829568,20,38,
245,41,Zhang & Wen. 2004,Humid subtropical,Longchuanjiang River,Huangguayuan(1980-1989),10,5560 ,231,103 ,18.07458143,0.128147482,6667,683.453 ,,,,,,,,,,,800,800,18.5,7.4978355,25.82,101.86,Forest,24.7,,1.83,1.215829568,20,38,
246,41,Zhang & Wen. 2004,Humid subtropical,Longchuanjiang River,Huangguayuan(1990-1996),7,5560 ,231,155 ,27.27042111,0.193345324,8032,1241.007 ,,,,,,,,,,,800,800,18.5,7.4978355,25.82,101.86,Forest,,,1.83,1.215829568,20,38,
247,41,Zhang & Wen. 2004,Humid subtropical,Yangtze River,Yichang(1954-1959),6,1005500 ,4529,435 ,13857.1791,0.41,1339,581.800 ,,,,,,,,,,,1060.023529,1060.023529,12,1.07076923,30.76,111.26,Forest,,0.29,,,,,
248,41,Zhang & Wen. 2004,Humid subtropical,Yangtze River,Yichang(1960-1969),10,1005500 ,4529,451 ,14364.53577,0.45,1212,545.997 ,,,,,,,,,,,1001.160285,1001.160285,12,1.07076923,30.76,111.26,Forest,,0.5,,,,,
249,41,Zhang & Wen. 2004,Humid subtropical,Yangtze River,Yichang(1970-1979),10,1005500 ,4529,413 ,13159.56367,0.43,1145,472.402 ,,,,,,,,,,,959.8371746,959.8371746,12,1.07076923,30.76,111.26,Forest,,0.92,,,,,
250,41,Zhang & Wen. 2004,Humid subtropical,Yangtze River,Yichang(1980-1989),10,1005500 ,4529,443 ,14110.85743,0.44,1265,559.920 ,,,,,,,,,,,1005.831563,1005.831563,12,1.07076923,30.76,111.26,Forest,,2.54,,,,,
251,41,Zhang & Wen. 2004,Humid subtropical,Yangtze River,Yichang(1990-1996),7,1005500 ,4529,419 ,13349.82243,0.44,966,404.774 ,,,,,,,,,,,951.5844672,951.5844672,12,1.07076923,30.76,111.26,Forest,20.9,3.76,,,,,
252,42,Zhang et al. 2006,Humid subtropical,Hanjiang River,Huangzhuang(1951-2000),50,142056 ,1577,336 ,1513,0.335881399,1211,407.515 ,,,,,,,,,,,1000,1000,15,0.60621433,31.08,112.53,Forest,,29,,,,,
253,42,Zhang et al. 2006,Humid continental,Jialingjiang River,Beibei(1956-2000),45,156142 ,1345,427 ,2115,0.454432504,1800,768.531 ,,,,,,,,,,,940,940,15,0.61710037,29.79,106.48,Agriculture,,3.38,,,,,
254,42,Zhang et al. 2006,Humid subtropical,Wujiang River,Wulong(1956-2000),45,83035 ,1037,597 ,1573,0.515010579,56,33.359 ,,,,,,,,,,,1160,1160,15,1.70684667,29.5,107.48,Forest,,3.27,,,,,
255,42,Zhang et al. 2006,Highlands,Yangtze River,Pingshan(1956-2000),45,485099 ,3600,294 ,4524,0.414228976,1858,546.280 ,,,,,,,,,,,710,710,8,1.41222222,28.65,104.38,Grassland,,,,,,,
256,42,Zhang et al. 2006,Humid subtropical,Yangtze River,Yichang(1950-2000),51,1005501 ,4550,436 ,13910,0.486903863,1161,506.116 ,,,,,,,,,,,896,896,12,1.15868132,30.76,111.26,Forest,,2.12,,,,,
257,42,Zhang et al. 2006,Humid subtropical,Yangtze River,Hankou(1954-2000),47,1488036 ,5360,477 ,22516,0.458829222,440,269.886 ,,,,,,,,,,,1040,1040,14,1.00223881,30.59,114.32,Forest,,,,,,,
258,42,Zhang et al. 2006,Humid subtropical,Yangtze River,Datong(1953-2000),48,1705383 ,5756,519 ,28066.13955,0.44,496,257.537 ,,,,,,,,,,,1179.545455,1087,14,0.85423905,30.72,117.47,Forest,,5.99,,,,,
259,43,Zhang et al. 2008,Humid subtropical,Beijiang River,Shijiao(1954-2004),51,38400 ,573,1086 ,1322.298326,0.615610828,129.4964029,140.625 ,,,,,,,,,,,1764,1764,20,0.86038394,23.55,112.97,Forest,36.16,12,,,,,
260,43,Zhang et al. 2008,Humid subtropical,Dongjiang River,Boluo(1957-2004),48,25300 ,562,909 ,729.3252156,0.524576405,104.3478261,94.862 ,,,,,,,,,,,1733,1733,20,1.76512456,23.17,114.29,Forest,38,78,,,,,
261,43,Zhang et al. 2008,Humid subtropical,Hongshuihe River,Qianjiang(1954-2004),51,128900 ,1573,517 ,2111.872146,0.351482719,633.6336336,327.386 ,,,,,,,,,,,1470,1470,16,1.30387794,23.63,108.98,Forest,26.03,,,,,,
262,43,Zhang et al. 2008,Humid subtropical,Liujiang River,Liuzhou(1954-2004),51,45400 ,773,879 ,1265.2207,0.597860289,127.8195489,112.335 ,,,,,,,,,,,1470,1470,17,1.24191462,24.26,109.68,Forest,28.64,,,,,,
263,43,Zhang et al. 2008,Humid subtropical,Nanpanjiang River,Xiaolongtan(1953-2004),52,15400 ,400,247 ,120.4972095,0.216830621,1289.473684,318.182 ,,,,,,,,,,,1138,1138,15,2.7375,23.81,103.2,Forest,27.09,,,,,,
264,43,Zhang et al. 2008,Humid subtropical,Xijiang River,Wuzhou(1954-2004),51,327000 ,2014,624 ,6468.797565,0.383909668,310.2941176,193.578 ,6.016988235,1.841523529,,,,3.753717431,1.148840367,,,4.902557798,1625,1625,20,0.86891758,23.49,111.32,Forest,32.94,,,,,,
265,43,Zhang et al. 2008,Humid subtropical,Xijiang River,Gaoyao(1957-2004),48,351500 ,2214,626 ,6972.983257,0.384987417,306.957708,192.034 ,5.953596453,1.832181583,,,,3.724597041,1.146221138,,,4.870818179,1625,1625,20,0.85230352,23.03,112.46,Forest,32.94,9,,,,,
266,43,Zhang et al. 2008,Humid subtropical,Xunjiang River,Dahuangjiangkou(1954-2004),51,288500 ,1812,594 ,5431.887367,0.395840555,337.4197315,200.347 ,,,,,,,,,,,1500,1500,20,1.17384106,23.58,110.22,Forest,,,,,,,
267,43,Zhang et al. 2008,Humid subtropical,Yujiang River,Nanning(1954-2004),51,72700 ,1157,510 ,1176.433283,0.38631065,247.9784367,126.547 ,,,,,,,,,,,1321,1321,21,1.40017286,22.77,108.37,Forest,28.36,,,,,,
268,44,Zhang et al. 2009,Humid subtropical,Luodingjiang River,Guanliang(2005),1,3164 ,201,518 ,52,0.334597012,7.58,85.967 ,2.04,2.39,,,3.9,1.07,1.24,,,2.31,1549,1549,20,4.83084577,22.84,111.68,Forest,,12,1.49,1.241090415,,,
269,45,Zhang et al. 2011,Humid subtropical,Guanliang Sub-Catchment L-1,2005,1,322 ,,518 ,5.289066464,0.35262083,,6.090 ,,,,,,0.15,0.74,,,0.89,1469,1469,22,4.9,22.514,111.5,Forest,,,1.57,1.234662806,20,38,
270,45,Zhang et al. 2011,Humid subtropical,Guanliang Sub-Catchment L-2,2005,1,949 ,,518 ,15.58796296,0.370529328,,6.830 ,,,,,,0.19,1.04,,,1.23,1398,1398,22,4.8,22.608,111.468,Forest,,,1.64,1.229301832,20,38,
271,45,Zhang et al. 2011,Humid subtropical,Guanliang Sub-Catchment L-3,2005,1,1982 ,,518 ,32.55568239,0.37920937,,15.150 ,,,,,,0.35,1.46,,,1.81,1366,1366,22,4,22.775,111.547,Forest,,,1.57,1.234662806,,,
272,45,Zhang et al. 2011,Humid subtropical,Guanliang Sub-Catchment L-4,2005,1,3164 ,,518 ,51.97082699,0.4046875,,13.130 ,,,,,,0.28,1.19,,,1.47,1280,1280,22,3.6,22.835,111.672,Forest,,12,1.49,1.241090415,,,
273,45,Zhang et al. 2011,Humid subtropical,Guanliang Sub-Catchment Q-1,2005,1,56 ,,518 ,0.919837646,0.370264475,,10.310 ,,,,,,0.3,0.81,,,1.11,1399,1399,22,4.3,22.875,111.633,Forest,,,1.73,1.222735879,23,27,
274,45,Zhang et al. 2011,Humid subtropical,Guanliang Sub-Catchment Q-2,2005,1,260 ,,518 ,4.270674784,0.388014981,,26.430 ,,,,,,0.53,1.01,,,1.54,1335,1335,22,3.6,22.833,111.655,Forest,,,1.35,1.253217146,23,27,
275,45,Zhang et al. 2011,Humid subtropical,Guanliang Sub-Catchment S-1,2005,1,248 ,,518 ,4.073566717,0.357982032,,5.570 ,,,,,,0.21,0.76,,,0.97,1447,1447,22,4.8,22.711,111.33,Forest,,,1.8,1.217861019,23,27,
276,45,Zhang et al. 2011,Humid subtropical,Guanliang Sub-Catchment S-2,2005,1,427 ,,518 ,7.01376205,0.373198847,,7.780 ,,,,,,0.21,1.05,,,1.26,1388,1388,22,3.7,22.746,111.516,Forest,,,1.6,1.232336554,20,38,
277,45,Zhang et al. 2011,Humid subtropical,Guanliang Sub-Catchment W-1,2005,1,190 ,,518 ,3.120877727,0.396934866,,3.080 ,,,,,,0.07,0.46,,,0.53,1305,1305,22,4.7,22.544,111.582,Forest,,,1.43,1.246141811,24,24,
278,45,Zhang et al. 2011,Humid subtropical,Guanliang Sub-Catchment W-2,2005,1,21 ,,518 ,0.344939117,0.418079096,,1.800 ,,,,,,0.09,0.43,,,0.52,1239,1239,22,4.4,22.589,111.63,Forest,,,1.71,1.224164965,23,27,
279,45,Zhang et al. 2011,Humid subtropical,Guanliang Sub-Catchment W-3,2005,1,86 ,,518 ,1.412607813,0.593356243,,1.740 ,,,,,,0.06,0.67,,,0.73,873,873,22,2.8,22.603,111.619,Forest,,,1.28,1.259760896,23,27,
280,45,Zhang et al. 2011,Humid subtropical,Guanliang Sub-Catchment W-4,2005,1,629 ,,518 ,10.33174784,0.478743068,,6.030 ,,,,,,0.15,0.83,,,0.98,1082,1082,22,3.4,22.708,111.664,Forest,,,1.41,1.247872825,20,38,
281,45,Zhang et al. 2011,Humid subtropical,Guanliang Sub-Catchment W-5,2005,1,798 ,,518 ,13.10768645,0.486842105,,9.180 ,,,,,,0.16,1.17,,,1.33,1064,1064,22,2.9,22.825,111.668,Forest,,,1.38,1.250515938,20,38,
282,46,ZHANG et al. 2013,Humid subtropical,Beijiang River,Shijiao(Apr 2012),1,38400 ,573,1281 ,2260,0.61,88,163.330 ,2.03,2.53,4.3,18.28,4.56,,,,,,2088.8,2088.8,20,0.86038394,23.55,112.97,Forest,,,,,,,
283,46,ZHANG et al. 2013,Humid subtropical,Beijiang River,Shijiao(Jul 2012),1,38400 ,573,1281 ,3390,0.61,235,654.249 ,4.11,2.73,0.91,12.49,6.84,,,,,,2088.8,2088.8,20,0.86038394,23.55,112.97,Forest,,,,,,,
284,46,ZHANG et al. 2013,Humid subtropical,Dongjiang River,Boluo(Apr 2012),1,25300 ,562,1104 ,886,0.630931925,118,130.317 ,4.2,2.45,4.5,8.23,6.65,,,,,,1750.4,1750.4,20,1.76512456,23.17,114.29,Forest,70,75,,,,,
285,46,ZHANG et al. 2013,Humid subtropical,Dongjiang River,Boluo(Jul 2012),1,25300 ,562,1070 ,1995,0.61,176,437.665 ,5.71,2.97,1.69,5.91,8.68,,,,,,1750.4,1750.4,20,1.76512456,23.17,114.29,Forest,70,75,,,,,
286,46,ZHANG et al. 2013,Humid subtropical,Pearl River,Pearl River Mouth(2012),1,453700 ,2214,772 ,11100,0.465009759,113.0979966,295.349 ,15.74133798,7.115084767,6.359500544,50.68710829,22.85642275,5.510249063,2.490632577,2.226140622,17.74300198,8.044963632,1659.2,1659.2,20,0.85094851,22.93,113.56,Forest,,39.86061118,,,,,
287,46,ZHANG et al. 2013,Humid subtropical,Xijiang River,Gaoyao(Apr2012),1,351500 ,2214,362 ,4030,0.188246447,119,43.026 ,5.26,1.67,2,22.69,6.93,,,,,,1920.7,1920.7,20,0.85230352,23.03,112.46,Forest,,,,,,,
288,46,ZHANG et al. 2013,Humid subtropical,Xijiang River,Gaoyao(Jul 2012),1,351500 ,2214,831 ,9260,0.432546426,441,366.379 ,5.85,2.07,1.64,16.72,7.92,,,,,,1920.7,1920.7,20,0.85230352,23.03,112.46,Forest,,,,,,,
289,47,Zhang et al. 2013,Semiarid,Yellow River,"Lijin(2003, 2006, 2007, 2010)",4,751900 ,5360,42 ,1001.388889,0.093333333,380,5.100 ,4,2.7,,,6.7,0.517356031,0.042558851,,,0.559914882,450,440,10,0.83414179,37.62,118.32,Grassland,,279.9361333,,,,,
290,47,Zhang et al. 2013,Semiarid,Yellow River,"Huayuankou(2003, 2006, 2007, 2010)",4,730000 ,4678,38 ,870.3703704,0.054178674,1396,35.461 ,6.34,2.66,,,9,0.161046144,0.067568256,,,0.2286144,694,440,10,0.93822146,34.91,113.67,Grassland,,240,,,,,
291,47,Zhang et al. 2013,Semiarid,Yellow River,"Tongguan(2003, 2006, 2007, 2010)",4,682200 ,4314,36 ,782,0.062326631,2733,98.796 ,13.85,3.22,,,17.07,0.500669826,0.116401216,,,0.617071042,580,440,8,0.94807603,34.62,110.43,Grassland,,,,,,,
292,47,Zhang et al. 2013,Semiarid,Yellow River,Huayuankou(2010),1,730000 ,4678,42 ,982,0.061127378,473.1,20.070 ,2.35,3.12,,,5.47,0.09969264,0.132357888,,,0.232050528,694,694,10,0.93822146,34.91,113.67,Grassland,,212.35,,,,,
293,48,Zhang et al. 2014,Humid subtropical,Yangtze River,Datong(2006-2007),1,1705400 ,5756,374 ,20215,0.376447871,66.31757748,42.277 ,1.729223934,1.076165959,,11.89301355,4.784,1.102380673,0.686056057,,7.581798991,1.78843673,993,993,14,0.93606671,30.72,117.47,Forest,37,15.31,,,,,
294,49,Zhang et al. 2015,Humid subtropical,Beijiang River,Shijiao(2012),1,46710 ,468,1526 ,2260,0.730479984,,,2.03,2.53,,18.28,4.56,,,,,,2088.8,2088.8,20,0.85230352,23.03,112.46,Forest,,,,,,,
