name,sex,count,year
Cassidy,F,1308,2014
Jacqueline,F,1308,2014
Vivienne,F,1297,2014
Noelle,F,1293,2014
Camille,F,1291,2014
Josie,F,1286,2014
Teagan,F,1284,2014
Adrianna,F,1282,2014
Allie,F,1278,2014
Annabella,F,1277,2014
Juliette,F,1272,2014
Kendra,F,1271,2014
Juliet,F,1268,2014
Sienna,F,1264,2014
Brynn,F,1257,2014
Kali,F,1257,2014
Danielle,F,1243,2014
Maci,F,1238,2014
Jenna,F,1236,2014
Raelynn,F,1234,2014
Haley,F,1233,2014
Delaney,F,1231,2014
Paris,F,1229,2014
Alexia,F,1224,2014
Lyric,F,1219,2014
Gemma,F,1218,2014
Lilliana,F,1215,2014
Angel,F,1200,2014
Chelsea,F,1195,2014
Evangeline,F,1187,2014
Ayla,F,1185,2014
Kayleigh,F,1172,2014
Lena,F,1168,2014
Katie,F,1167,2014
Olive,F,1152,2014
Elaina,F,1151,2014
Madeleine,F,1149,2014
Dakota,F,1147,2014
Makenna,F,1147,2014
Elsa,F,1140,2014
Nova,F,1133,2014
Journey,F,1124,2014
Nadia,F,1124,2014
Kaydence,F,1122,2014
Alison,F,1118,2014
Jada,F,1117,2014
Kathryn,F,1115,2014
Shelby,F,1112,2014
Nina,F,1107,2014
Phoebe,F,1103,2014
Elliana,F,1102,2014
Diana,F,1092,2014
Skyler,F,1084,2014
Nyla,F,1082,2014
Alessandra,F,1081,2014
Eloise,F,1081,2014
Madilyn,F,1077,2014
Miriam,F,1070,2014
Amber,F,1064,2014
Megan,F,1063,2014
Adelynn,F,1062,2014
Ruth,F,1061,2014
Ashlyn,F,1060,2014
Amiyah,F,1058,2014
Rosalie,F,1058,2014
Amanda,F,1056,2014
Annie,F,1055,2014
Charlee,F,1054,2014
Adelaide,F,1050,2014
Lilah,F,1050,2014
Laura,F,1049,2014
June,F,1048,2014
Daniella,F,1042,2014
Mikayla,F,1036,2014
Jane,F,1026,2014
Raegan,F,1025,2014
Christina,F,1022,2014
Erin,F,1022,2014
Joanna,F,1021,2014
Ashlynn,F,1020,2014
Haven,F,1019,2014
Kelsey,F,1017,2014
Talia,F,1014,2014
Allyson,F,1013,2014
Fatima,F,1012,2014
Mariana,F,1009,2014
Sabrina,F,1008,2014
Elsie,F,1005,2014
Cadence,F,1003,2014
Ainsley,F,1001,2014
Leslie,F,1000,2014
Heaven,F,998,2014
Arielle,F,985,2014
Maddison,F,985,2014
Alicia,F,977,2014
Briella,F,970,2014
Lucille,F,970,2014
Sawyer,F,965,2014
Heidi,F,956,2014
Kyleigh,F,955,2014
Selena,F,955,2014
Malia,F,954,2014
Harley,F,948,2014
Kira,F,947,2014
Sierra,F,947,2014
Lana,F,942,2014
Kiara,F,923,2014
Paislee,F,920,2014
Daphne,F,919,2014
Kyla,F,917,2014
Carly,F,916,2014
Alondra,F,915,2014
Jaylah,F,913,2014
Cheyenne,F,909,2014
Bianca,F,906,2014
Baylee,F,900,2014
Camilla,F,892,2014
Macy,F,892,2014
Vera,F,889,2014
Catalina,F,888,2014
Skye,F,887,2014
Gia,F,885,2014
Sloane,F,881,2014
Aylin,F,880,2014
Myla,F,879,2014
Yaretzi,F,873,2014
Veronica,F,871,2014
Giuliana,F,868,2014
Macie,F,868,2014
Esmeralda,F,866,2014
Ada,F,863,2014
Lia,F,863,2014
Mckinley,F,861,2014
Addyson,F,858,2014
Averie,F,858,2014
Kamryn,F,855,2014
Carmen,F,853,2014
Mallory,F,850,2014
Jillian,F,848,2014
Ariella,F,844,2014
Abby,F,842,2014
Sage,F,842,2014
Rylie,F,838,2014
Scarlet,F,834,2014
Tatum,F,833,2014
Logan,F,831,2014
Dylan,F,828,2014
Bethany,F,827,2014
Elle,F,824,2014
Aspen,F,822,2014
Malaysia,F,822,2014
Jazmin,F,820,2014
Gracelyn,F,814,2014
Camryn,F,813,2014
Haylee,F,813,2014
Nayeli,F,808,2014
Helen,F,802,2014
Marilyn,F,797,2014
April,F,793,2014
Kamila,F,793,2014
Carolina,F,787,2014
Amina,F,782,2014
Miracle,F,782,2014
Raelyn,F,782,2014
Julie,F,780,2014
Blakely,F,777,2014
Rowan,F,774,2014
Angelique,F,772,2014
Kennedi,F,770,2014
Jayleen,F,769,2014
Amira,F,767,2014
Emely,F,767,2014
Briana,F,765,2014
Gwendolyn,F,764,2014
Justice,F,763,2014
Zara,F,762,2014
Aleah,F,758,2014
Bristol,F,755,2014
Itzel,F,753,2014
Francesca,F,752,2014
Emersyn,F,745,2014
Aubrie,F,743,2014
Nylah,F,743,2014
Ember,F,739,2014
Anaya,F,738,2014
Kelly,F,738,2014
Karina,F,737,2014
Angelica,F,736,2014
Evelynn,F,736,2014
Maliyah,F,734,2014
Jimena,F,731,2014
Kassidy,F,731,2014
Madelynn,F,731,2014
Melany,F,729,2014
Jazmine,F,728,2014
Kara,F,728,2014
Jayda,F,727,2014
Tiffany,F,726,2014
Dahlia,F,721,2014
Alejandra,F,716,2014
Annabel,F,716,2014
Holly,F,714,2014
Sarai,F,714,2014
Gracelynn,F,712,2014
Janelle,F,711,2014
Braelyn,F,708,2014
River,F,706,2014
Viviana,F,706,2014
Annalise,F,704,2014
Serena,F,704,2014
Brittany,F,697,2014
Joy,F,697,2014
Brinley,F,695,2014
Cataleya,F,695,2014
Eve,F,695,2014
Caitlyn,F,691,2014
Madisyn,F,690,2014
Emmalyn,F,687,2014
Anabelle,F,686,2014
Celeste,F,679,2014
Journee,F,678,2014
Marissa,F,678,2014
Brylee,F,676,2014
Marlee,F,674,2014
Luciana,F,673,2014
Savanna,F,672,2014
Anya,F,670,2014
Jazlyn,F,666,2014
Zuri,F,666,2014
Kailey,F,662,2014
Michaela,F,661,2014
Crystal,F,660,2014
Madilynn,F,655,2014
Lorelei,F,654,2014
Nia,F,654,2014
Lacey,F,652,2014
Guadalupe,F,651,2014
